de,en,cat,ex,pos,tr
nicht,not,Goethe B1,Ich rauche nicht.,,değil
die Nichte,niece,Goethe B1,Die Tasche ist ein Geschenk von meiner Nichte.,,yeğen (kız)
der Nichtraucher / die Nichtraucherin,non-smoker,Goethe B1,In unserer Familie sind alle Nichtraucher.,,sigara içmeyen
nichts,nothing,Goethe B1,Ich habe noch nichts gegessen.,,hiçbir şey
nie,never,Goethe B1,Der Chef ist nie da.,,"hiç, hiçbir zaman"
niedrig,"low, short",Goethe B1,Die Räume hier sind mir zu niedrig.,,"alçak, düşük"
niemand,"nobody, no one",Goethe B1,Es war niemand zu Hause.,,hiç kimse
nirgends / nirgendwo,nowhere,Goethe B1,Ich kann die Quittung nirgends finden.,,hiçbir yerde
noch,"still, yet, more",Goethe B1,Mein Bruder geht noch zur Schule.,,"hâlâ, daha"
noch mal,"again, once more",Goethe B1,Vielen Dank nochmal.,,"bir daha, tekrar"
nochmals,once again,Goethe B1,Nochmals vielen Dank!,,bir kez daha
normal,normal,Goethe B1,Fehler zu machen ist doch ganz normal.,,normal
normalerweise,"normally, usually",Goethe B1,Wann haben Sie normalerweise Pause?,,"normalde, genellikle"
Not-,emergency (prefix),Goethe B1,Die Notaufnahme ist gleich hier links.,,acil (ön ek)
der Notruf,emergency call,Goethe B1,Der Notruf hat die Nummer 110.,,acil çağrı
die Note,"grade, note",Goethe B1,Eva hat immer sehr gute Noten in Mathematik.,,"not, derece"
notieren,to note down,Goethe B1,Ich habe mir den Termin notiert.,,not almak
nötig,necessary,Goethe B1,"Wenn es nötig ist, nehmen Sie noch eine Tablette.",,gerekli
die Notiz,note,Goethe B1,Ich habe Ihnen eine Notiz geschrieben.,,"not, yazı"
notwendig,necessary,Goethe B1,"Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig.",,"zorunlu, gerekli"
die Nudel,"noodle, pasta",Goethe B1,Möchten Sie Nudeln oder Reis?,,"makarna, erişte"
die Nummer,number,Goethe B1,Ich habe mich in der Hausnummer geirrt.,,"numara, sayı"
nun,"now, well",Goethe B1,"Schade, dass du arbeiten musst. – Das ist nun mal so.",,"şimdi, işte"
nur,"only, just",Goethe B1,Im Kaufhaus gibt's T-Shirts für nur fünf Euro.,,"sadece, yalnızca"
nutzen,"to use, to take advantage of",Goethe B1,Ich möchte das schöne Wetter nutzen und spazieren gehen.,,"kullanmak, yararlanmak"
nützen,"to be of use, to help",Goethe B1,Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.,,"işe yaramak, fayda sağlamak"
nützlich,useful,Goethe B1,Danke für den Tipp. Das war sehr nützlich.,,"faydalı, yararlı"
ob,"whether, if",Goethe B1,"Ich weiß noch nicht, ob ich kommen kann.",,"olup olmadığı, -ip -meyeceği"
oben,"above, upstairs",Goethe B1,Wir wohnen oben im 4. Stock.,,"yukarıda, üstte"
ober-,"upper, head (prefix)",Goethe B1,Ich bin Ober von Beruf.,,"üst, baş (ön ek)"
das Obst,fruit,Goethe B1,Obst kaufe ich am liebsten auf dem Markt.,,meyve
obwohl,"although, even though",Goethe B1,"Obwohl meine Kollegin krank ist, geht sie arbeiten.",,"her ne kadar, -e rağmen"
oder,or,Goethe B1,Möchten Sie Kaffee oder Tee?,,"ya da, veya"
der Ofen,oven,Goethe B1,Ich habe gerade eine Pizza gemacht.,,fırın
öffentlich,public,Goethe B1,In der Stadt fahre ich immer mit öffentlichen Verkehrsmitteln.,,"halka açık, kamusal"
die Öffentlichkeit,the public,Goethe B1,Von solchen Dingen erfährt die Öffentlichkeit nur selten.,,"kamuoyu, halk"
veröffentlichen,to publish,Goethe B1,Das Buch wurde gestern veröffentlicht.,,yayımlamak
die Operation,"operation, surgery",Goethe B1,Seit der Operation kann ich mein Knie nicht mehr bewegen.,,"ameliyat, operasyon"
das Opfer,"victim, sacrifice",Goethe B1,Bei der Schiffskatastrophe gab es viele Opfer.,,"kurban, mağdur"
optimistisch,optimistic,Goethe B1,"Glaubst du, dass du den Job bekommst? – Ja, ich bin ganz optimistisch.",,iyimser
offenbar,"apparently, obviously",Goethe B1,Das Restaurant ist heute offenbar geschlossen.,,"görünüşe göre, belli ki"
offiziell,official,Goethe B1,Sie bekommen von uns eine offizielle Einladung.,,resmi
öffnen,to open,Goethe B1,Wann öffnen die Geschäfte?,,açmak
oft,often,Goethe B1,Ich treffe mich oft mit meiner Freundin.,,"sık sık, çoğunlukla"
ohne,without,Goethe B1,Bitte eine Pizza ohne Zwiebeln.,,"olmadan, -siz"
das Ohr,ear,Goethe B1,Ich habe Ohrenschmerzen.,,kulak
das Öl,oil,Goethe B1,Es fehlt Öl am Salat.,,yağ
die Oma,grandma,Goethe B1,Meine Oma ist achtzig Jahre alt geworden.,,"büyükanne, anneanne"
der Onkel,uncle,Goethe B1,Nächste Woche fahre ich zu meinem Onkel nach Berlin.,,"amca, dayı"
der Opa,grandpa,Goethe B1,Mein Opa heißt Hans.,,"büyükbaba, dede"
die Oper,opera,Goethe B1,Ich mag Opern.,,opera
operieren,to operate on,Goethe B1,Wir müssen das Knie sofort operieren.,,ameliyat etmek
die Orange,orange,Goethe B1,Ich esse gern Orangen.,,portakal
das Orchester,orchestra,Goethe B1,Auf unserer Hochzeit hat ein kleines Orchester gespielt.,,orkestra
ordentlich,"orderly, tidy",Goethe B1,Mein Bruder ist ein sehr ordentlicher Mensch.,,"düzenli, tertipli"
ordnen,"to organize, to sort",Goethe B1,Letztes Wochenende habe ich meine Papiere geordnet.,,"düzenlemek, sıralamak"
der Ordner,"binder, folder",Goethe B1,Für meine Übungen im Deutschkurs habe ich mir einen Ordner gekauft.,,"klasör, dosya"
die Ordnung,"order, tidiness",Goethe B1,Mach mal etwas Ordnung in deinem Zimmer!,,"düzen, tertip"
organisieren,to organize,Goethe B1,Für den nächsten Sommerurlaub habe ich schon alles organisiert.,,"organize etmek, düzenlemek"
das Original,original,Goethe B1,Das Original ist für Sie. Wir bekommen die Kopie.,,"orijinal, asıl"
der Ort,"place, location",Goethe B1,Vergessen Sie Ort und Datum nicht.,,"yer, konum"
der Ozean,ocean,Goethe B1,Dieses Schiff fährt über den Atlantischen Ozean.,,okyanus
ein paar,"a few, some",Goethe B1,Ich komme gleich. Es dauert nur ein paar Minuten.,,birkaç
das Paar,"couple, pair",Goethe B1,Ina und Pedro sind ein Paar.,,çift
packen,to pack,Goethe B1,Ich muss noch meinen Koffer packen.,,"paketlemek, bavul yapmak"
das Paket,"package, parcel",Goethe B1,Hast du das Paket zur Post gebracht?,,"paket, koli"
die Panne,"breakdown, mishap",Goethe B1,Kurz vor München hatten wir eine Panne mit dem Auto.,,"arıza, patlak"
das Papier,paper,Goethe B1,Hast du ein Blatt Papier für mich?,,kağıt
parallel,parallel,Goethe B1,Die Goethestraße ist parallel zur Hauptstraße.,,paralel
das Parfüm,perfume,Goethe B1,Zum Geburtstag habe ich von meinem Mann ein Parfüm bekommen.,,parfüm
der Park,park,Goethe B1,Ich gehe gern im Park spazieren.,,park
parken,to park,Goethe B1,Hier dürfen Sie nicht parken.,,park etmek
der Partner,partner,Goethe B1,Wir haben das Geschäft zusammen. Wir sind Partner.,,"ortak, partner"
die Partnerin,female partner,Goethe B1,Meine Partnerin ist Ärztin.,,"ortak, eş (kadın)"
die Party,party,Goethe B1,Letzte Woche war ich auf einer Geburtstagsparty.,,"parti, eğlence"
der Pass,passport,Goethe B1,Ich muss meinen Pass verlängern lassen.,,pasaport
der Passagier,passenger,Goethe B1,Die Passagiere Schulz und Kaufmann sollen bitte zur Information kommen.,,yolcu
passen,"to fit, to suit",Goethe B1,Der Pullover passt mir nicht mehr.,,"uymak, yakışmak"
passieren,to happen,Goethe B1,Entschuldigung! – Kein Problem. Es ist nichts passiert.,,"olmak, meydana gelmek"
passiv,passive,Goethe B1,"Man sollte im Kurs nicht passiv sein, sondern mitdiskutieren.",,pasif
der Patient,patient,Goethe B1,Ich bin Patientin bei Dr. Hausner. Ich möchte bitte einen Termin.,,hasta
pauschal,"flat-rate, package",Goethe B1,Sie haben die Reise pauschal gebucht.,,"toptan, paket halinde"
die Pause,"break, pause",Goethe B1,Wir machen zehn Minuten Pause.,,"mola, ara"
das Pech,bad luck,Goethe B1,Es regnet. Unser Picknick fällt leider aus. – So ein Pech!,,"şanssızlık, talihsizlik"
der Pfeffer,pepper,Goethe B1,Bringen Sie uns bitte Pfeffer und Salz.,,biber
pflanzen,to plant,Goethe B1,Lass uns einen Baum pflanzen!,,"dikmek, ekmek"
die Pflanze,plant,Goethe B1,"Wenn wir im Urlaub sind, gießt die Nachbarin unsere Pflanzen.",,bitki
das Pflaster,"bandage, plaster",Goethe B1,Hast du ein Pflaster? Ich habe mich geschnitten.,,yara bandı
die Pflaume,plum,Goethe B1,Ich esse gern Pflaumen und noch lieber Pflaumenkuchen.,,erik
peinlich,embarrassing,Goethe B1,Das muss dir nicht peinlich sein.,,"utanç verici, mahcup edici"
die Pension,guesthouse; pension,Goethe B1,Im Urlaub haben wir in einer kleinen Pension gewohnt.,,pansiyon; emekli maaşı
pflegen,"to care for, to maintain",Goethe B1,Meine Mutter ist sehr krank. Ich muss sie pflegen.,,"bakım yapmak, bakmak"
der Pfleger,"caregiver, nurse",Goethe B1,Meine Freundin ist Pflegerin in einem Altersheim.,,"bakıcı, hemşire"
die Pflicht,"duty, obligation",Goethe B1,Als Autofahrer müssen Sie eine Versicherung haben. Das ist Pflicht.,,"görev, yükümlülük"
die Phantasie,"imagination, fantasy",Goethe B1,Mein Sohn malt sehr gut. Er hat viel Phantasie.,,"hayal gücü, fantezi"
das Picknick,picnic,Goethe B1,Am Sonntag machen wir ein Picknick.,,piknik
die Pille,"pill, tablet",Goethe B1,Der Arzt hat mir neue Pillen verschrieben.,,"hap, tablet"
der Pilz,mushroom,Goethe B1,Haben Sie frische Pilze?,,mantar
per,"by, via",Goethe B1,Wie kann ich mich für den Kurs anmelden? – Per Fax oder E-Mail.,,"ile, aracılığıyla"
perfekt,perfect,Goethe B1,Die Reiseorganisation war perfekt.,,mükemmel
die Pizza,pizza,Goethe B1,Lass uns eine Pizza bestellen!,,pizza
das Plakat,poster,Goethe B1,Im Unterricht haben wir ein Plakat gemacht.,,"afiş, poster"
planen,to plan,Goethe B1,"Wir haben geplant, diesmal im Urlaub nach Österreich zu fahren.",,planlamak
die Person,person,Goethe B1,Eintritt pro Person: 2 Euro.,,"kişi, şahıs"
persönlich,personal,Goethe B1,Hier gibt es zu viele Autos. Das ist meine persönliche Meinung.,,"kişisel, şahsi"
der Plan,plan,Goethe B1,"Was macht ihr im Sommer? – Ich weiß noch nicht, wir haben noch keine Pläne.",,"plan, proje"
die Planung,planning,Goethe B1,Unsere Planung für das Sommerfest steht schon lange.,,planlama
die Pfanne,"pan, frying pan",Goethe B1,Hast du keine größere Pfanne? Ich möchte Kartoffeln kochen.,,tava
das Plastik,plastic,Goethe B1,Was für ein Spielzeug möchten Sie? Aus Plastik oder aus Holz?,,plastik
der Platz,"place, space, square",Goethe B1,In unserer Wohnung haben wir nicht genug Platz.,,"yer, alan, meydan"
plötzlich,suddenly,Goethe B1,Es war zuerst so schön. Plötzlich hat es angefangen zu regnen.,,"aniden, birdenbire"
die Politik,politics,Goethe B1,Ich interessiere mich nicht für Politik.,,"politika, siyaset"
der Politiker,politician,Goethe B1,"Weißt du, wie dieser Politiker heißt?",,"politikacı, siyasetçi"
politisch,political,Goethe B1,Ich diskutiere mit meinem Mann oft über politische Probleme.,,"siyasi, politik"
die Präsentation,presentation,Goethe B1,Die Schülerin hat für ihre Präsentation eine gute Note bekommen.,,"sunum, prezantasyon"
die Praxis,practice; doctor's office,Goethe B1,Das ist die Theorie. In der Praxis ist vieles ganz anders.,,pratik; muayenehane
die Polizei,police,Goethe B1,Rufen Sie bitte die Polizei.,,polis
der Polizist,police officer,Goethe B1,Ein Polizist hat den Verkehr geregelt.,,polis memuru
populär,popular,Goethe B1,Diese Musik ist bei Jugendlichen populär.,,"popüler, sevilen"
die Portion,portion,Goethe B1,"Bitte, eine große Portion Sahne!",,"porsiyon, miktar"
positiv,positive,Goethe B1,Wir haben eine positive Nachricht für Sie.,,"olumlu, pozitif"
die Post,post office; mail,Goethe B1,Die Post macht erst um 8 Uhr auf.,,postane; posta
die Postleitzahl,postal code,Goethe B1,Weißt du die Postleitzahl der Kollwitzstraße in Berlin?,,posta kodu
der Preis,price; prize,Goethe B1,Die Preise sind schon wieder gestiegen.,,fiyat; ödül
preiswert,"affordable, good value",Goethe B1,Die Jacke ist sehr preiswert.,,"uygun fiyatlı, değer"
die Presse,"press, media",Goethe B1,Darüber konnte sich jeder in der Presse informieren.,,"basın, medya"
prima,"great, excellent",Goethe B1,Mit diesen Leuten verstehe ich mich prima.,,"harika, mükemmel"
privat,private,Goethe B1,Hier meine Nummer im Büro und meine private Nummer.,,"özel, kişisel"
pro,"per, for",Goethe B1,Eintritt pro Person: zwei Euro.,,"kişi başına, için"
probieren,"to try, to taste",Goethe B1,Möchten Sie den Käse mal probieren?,,"denemek, tatmak"
das Problem,problem,Goethe B1,José spricht nicht gern über seine Probleme.,,"sorun, problem"
das Praktikum,internship,Goethe B1,Ich mache diesen Sommer drei Monate ein Praktikum bei einer Firma.,,staj
praktisch,practical,Goethe B1,Ich finde diese Küchenmaschine sehr praktisch.,,pratik
produzieren,to produce,Goethe B1,Unsere Firma produziert Feuerzeuge.,,üretmek
das Produkt,product,Goethe B1,Unsere Produkte haben eine hohe Qualität.,,ürün
die Produktion,production,Goethe B1,Die Produktion von Käse dauert oft viele Wochen.,,üretim
der Professor,professor,Goethe B1,Unsere Nachbarin ist Professorin an der Universität.,,profesör
der Profi,professional,Goethe B1,Mein Bruder kann die Heizung bestimmt reparieren. Er ist doch ein Profi.,,"profesyonel, uzman"
präsentieren,to present,Goethe B1,Präsentieren Sie Ihre Ergebnisse bitte im Kurs.,,"sunmak, takdim etmek"
das Programm,"program, schedule",Goethe B1,Hast du schon ins Programm geguckt?,,"program, tarifeli"
das Projekt,project,Goethe B1,Der Staat fördert Projekte für Kinder und Jugendliche.,,proje
der Prospekt,brochure,Goethe B1,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.,,"broşür, katalog"
die Quittung,receipt,Goethe B1,Brauchen Sie eine Quittung?,,"fiş, makbuz"
das Quiz,quiz,Goethe B1,Er hat beim Quiz gewonnen.,,"quiz, bilgi yarışması"
protestieren,to protest,Goethe B1,Wir protestieren gegen den Bau der Autobahn.,,protesto etmek
der Protest,protest,Goethe B1,Alle Proteste haben nichts genützt.,,protesto
der Prozess,"trial, process",Goethe B1,Der Prozess wird direkt aus dem Gerichtssaal im Fernsehen übertragen.,,"dava, süreç"
prüfen,"to check, to test",Goethe B1,"Bitte prüfen Sie sofort, ob die Rechnung stimmt.",,"kontrol etmek, sınamak"
die Prüfung,"exam, test",Goethe B1,Mein Freund hat die Prüfung bestanden.,,sınav
das Publikum,"audience, public",Goethe B1,Es war ein tolles Konzert. Das Publikum war begeistert.,,"seyirci, dinleyici kitlesi"
der Pullover,"sweater, pullover",Goethe B1,Ich habe mir einen Pullover gekauft.,,kazak
der Punkt,"point, period",Goethe B1,Das Konzert beginnt um Punkt 20 Uhr.,,nokta
pünktlich,"punctual, on time",Goethe B1,Seien Sie bitte pünktlich.,,"dakik, zamanında"
die Puppe,doll,Goethe B1,Unsere kleine Tochter bekommt zum Geburtstag eine Puppe.,,"bebek, kukla"
putzen,to clean,Goethe B1,Ich muss heute noch die Wohnung putzen.,,temizlemek
die Qualifikation,qualification,Goethe B1,Für diese Arbeit haben Sie gute Qualifikationen.,,"nitelik, yeterlilik"
die Qualität,quality,Goethe B1,"Für mich ist nicht nur der Preis wichtig, sondern auch die Qualität.",,kalite
der Rabatt,discount,Goethe B1,Sie bekommen zehn Prozent Rabatt.,,indirim
das Rad,wheel; bicycle,Goethe B1,Hast du noch ein Rad? Ich bin durch Glas gefahren.,,tekerlek; bisiklet
der Radfahrer,cyclist,Goethe B1,Der Radfahrer ist auf der Straße unterwegs.,,bisikletçi
das Radio,radio,Goethe B1,Ich höre gern Radio.,,radyo
der Rand,"edge, border",Goethe B1,Wir wohnen am Rand der Innenstadt.,,"kenar, sınır"
der Rasen,"lawn, grass",Goethe B1,Bitte den Rasen nicht betreten!,,"çim, çimenlik"
sich rasieren,to shave,Goethe B1,Du solltest dich mal wieder rasieren.,,tıraş olmak
raten,to advise; to guess,Goethe B1,Was raten Sie mir?,,tavsiye etmek; tahmin etmek
der Rat,"advice, council",Goethe B1,Können Sie mir einen Rat geben?,,"tavsiye, öneri"
der Ratschlag,"advice, tip",Goethe B1,Meine Tochter nimmt meine Ratschläge nicht an.,,"tavsiye, öğüt"
das Rätsel,"riddle, puzzle",Goethe B1,Ich kann dieses Rätsel nicht lösen.,,"bulmaca, muamma"
das Rathaus,town hall,Goethe B1,Hier links sehen Sie das Rathaus.,,belediye binası
rauchen,to smoke,Goethe B1,Hier ist das Rauchen verboten!,,sigara içmek
der Raucher,smoker,Goethe B1,Gibt es hier ein Zimmer für Raucher?,,sigara içen (kişi)
der Raum,"room, space",Goethe B1,Getränke gibt es im Raum nebenan.,,"oda, mekan"
reagieren,"to react, to respond",Goethe B1,"Ich habe dem Vermieter geschrieben, aber er hat noch nicht reagiert.",,"tepki vermek, yanıtlamak"
die Reaktion,reaction,Goethe B1,Diese Reaktion ist typisch für ihn.,,"tepki, reaksiyon"
realisieren,"to realize, to implement",Goethe B1,Diese Pläne sind nicht zu realisieren.,,"gerçekleştirmek, fark etmek"
die Realität,reality,Goethe B1,Das gefällt dir nicht? Aber das ist die Realität.,,"gerçeklik, gerçek"
realistisch,realistic,Goethe B1,"Ich glaube nicht, dass du für das Auto noch so viel Geld bekommst. Das ist nicht realistisch.",,gerçekçi
die Recherche,"research, investigation",Goethe B1,Für diesen Bericht waren viele Recherchen nötig.,,araştırma
rechnen,"to calculate, to count on",Goethe B1,Meine Tochter kann gut rechnen.,,"hesap yapmak, saymak"
der Rechner,"computer, calculator",Goethe B1,Mein Rechner ist kaputt.,,"bilgisayar, hesap makinesi"
die Rechnung,"bill, invoice",Goethe B1,"Bitte, die Rechnung!",,"fatura, hesap"
das Recht,"right, law",Goethe B1,Nach deutschem Recht kann er dafür nicht bestraft werden.,,"hak, kanun"
rechtlich,legal,Goethe B1,Wir beraten Sie in rechtlichen Fragen.,,"hukuki, yasal"
recht,"right, okay",Goethe B1,"Ist es Ihnen recht, wenn ich morgen vorbeikomme?",,"uygun, doğru"
rechts,"right, to the right",Goethe B1,An der nächsten Kreuzung müssen Sie rechts abbiegen.,,"sağa, sağda"
rechtzeitig,"on time, in time",Goethe B1,Bitte weck mich rechtzeitig. Ich muss pünktlich sein.,,"zamanında, vaktinde"
reden,"to talk, to speak",Goethe B1,Worüber habt ihr gestern geredet?,,konuşmak
die Rede,"speech, talk",Goethe B1,Der Präsident hat eine Rede gehalten.,,"konuşma, söylev"
reduzieren,to reduce,Goethe B1,Wir haben jetzt unsere Preise reduziert.,,"azaltmak, indirmek"
das Referat,"presentation, report",Goethe B1,Vielen Dank für dieses interessante Referat.,,"sunum, rapor"
die Reform,reform,Goethe B1,Die Regierung plant für nächstes Jahr eine Reform.,,reform
das Regal,shelf,Goethe B1,Das Buch steht im Regal oben rechts.,,raf
die Regel,rule,Goethe B1,Im Straßenverkehr sind viele Regeln zu beachten.,,"kural, kaide"
regelmäßig,"regular, regularly",Goethe B1,Sie müssen die Tabletten regelmäßig nehmen.,,düzenli olarak
regeln,"to regulate, to manage",Goethe B1,Ein Polizist regelt den Verkehr.,,"düzenlemek, yönetmek"
regnen,to rain,Goethe B1,Es hat gestern den ganzen Tag geregnet.,,yağmur yağmak
der Regen,rain,Goethe B1,Bei Regen fällt das Konzert aus.,,yağmur
die Region,"region, area",Goethe B1,In der Rhein-Main-Region sind die Mieten sehr hoch.,,bölge
regional,regional,Goethe B1,Du kannst mit einer Regionalbahn fahren.,,bölgesel
